Year,Corruption,GDP per Capita,SocialSupport,LifeExpectancy,Freedom,Generosity,HappinessScore
2016,0.36794,0.25558,0.75862,0.33108,0.3913,0.51479,5.057
2016,0.0817,0.97724,0.43165,0.59577,0.23553,0.03936,5.045
2016,0.04127,1.24886,0.75473,0.80029,0.05822,0.0,5.033
2016,0.13509,0.48835,0.75602,0.53119,0.43408,0.25998,4.996
2016,0.03285,0.98853,1.08983,0.55469,0.35972,0.34539,4.907
2016,0.22423,0.68042,0.5497,0.38291,0.52168,0.43079,4.876
2016,0.0305,0.75216,0.64498,0.05108,0.27854,0.23219,4.875
2016,0.06906,0.69429,0.75596,0.58383,0.26755,0.2044,4.871
2016,0.0557,1.11758,0.38857,0.64232,0.22544,0.38538,4.813
2016,0.11479,0.61202,0.6376,0.23573,0.42662,0.17866,4.795
2016,0.07008,0.44626,0.69699,0.50073,0.37012,0.3816,4.793
2016,0.10613,0.67024,0.71629,0.56844,0.17744,0.11154,4.754
2016,0.05301,0.9553,0.50163,0.73007,0.31866,0.1684,4.655
2016,0.12583,0.54177,0.24749,0.52989,0.39778,0.19132,4.643
2016,0.08196,0.36485,0.628,0.0,0.30685,0.23897,4.635
2016,0.13636,1.07474,0.59205,0.51076,0.24856,0.19589,4.575
2016,0.10398,0.93287,0.70362,0.34745,0.48614,0.07795,4.574
2016,0.06126,0.52497,0.62542,0.12698,0.42736,0.2268,4.513
2016,0.1717,0.29283,0.37932,0.34578,0.36703,0.29522,4.508
2016,0.08415,1.02416,0.96053,0.18611,0.42483,0.13656,4.459
2016,0.07964,0.97318,0.84783,0.62007,0.50817,0.46978,4.415
2016,0.08722,0.74036,0.29247,0.45091,0.40285,0.25028,4.404
2016,0.20243,0.34112,0.69981,0.3988,0.42692,0.81971,4.395
2016,0.10393,0.95395,0.49813,0.52116,0.18847,0.12706,4.362
2016,0.03616,0.86086,0.62477,0.64083,0.14037,0.07793,4.36
2016,0.06686,0.52267,0.7624,0.30147,0.40576,0.41328,4.356
2016,0.01829,0.87287,1.01413,0.58628,0.12859,0.20363,4.324
2016,0.0326,0.63107,0.49353,0.29681,0.40973,0.21203,4.276
2016,0.06075,0.05661,0.80676,0.188,0.15602,0.25458,4.272
2016,0.3188,0.83792,0.19249,0.64035,0.32461,0.06786,4.252
2016,0.09753,0.77109,0.47799,0.28212,0.37938,0.12077,4.236
2016,0.11681,0.44314,0.77416,0.40457,0.31056,0.19103,4.219
2016,0.00615,1.11306,0.92542,0.67806,0.21219,0.12793,4.217
2016,0.17955,0.61391,0.84142,0.28639,0.1268,0.22686,4.201
2016,0.08582,0.35041,0.71478,0.1595,0.25429,0.18503,4.193
2016,0.07564,0.08709,0.147,0.29364,0.4143,0.30968,4.156
2016,0.10039,0.63069,0.81928,0.29759,0.0,0.18077,4.139
2016,0.09314,1.15851,0.72368,0.3494,0.28098,0.06244,4.121
2016,0.13647,0.31292,0.86333,0.16347,0.27544,0.21064,4.073
2016,0.14476,0.34097,0.29561,0.27494,0.12072,0.47958,4.028
2016,0.10769,1.09426,0.89186,0.34752,0.44089,0.12425,3.974
2016,0.18437,0.27509,0.60323,0.29981,0.15412,0.1827,3.956
2016,0.1553,0.55507,0.57576,0.04476,0.40663,0.20338,3.916
2016,0.08092,0.55604,0.5375,0.42494,0.58852,0.40339,3.907
2016,0.08434,0.84731,0.66366,0.04991,0.00589,0.12071,3.866
2016,0.17176,0.1327,0.6053,0.26162,0.38041,0.2097,3.856
2016,0.13015,0.39394,0.18519,0.15781,0.19662,0.25899,3.832
2016,0.04952,0.42214,0.63178,0.03824,0.12807,0.18667,3.763
2016,0.12533,0.31995,0.63054,0.21297,0.3337,0.24353,3.739
2016,0.06442,0.34719,0.90981,0.19625,0.43653,0.27102,3.739
2016,0.05892,0.57939,0.47493,0.31048,0.2287,0.09821,3.724
2016,0.07506,0.27954,0.46115,0.37109,0.13684,0.2204,3.695
2016,0.05099,0.47155,0.77623,0.357,0.3176,0.31472,3.666
2016,0.04852,0.10706,0.50353,0.23165,0.25748,0.24063,3.622
2016,0.1192,0.22415,0.3109,0.18829,0.30953,0.29914,3.607
2016,0.50521,0.32846,0.61586,0.31865,0.5432,0.23552,3.515
2016,0.06681,0.39499,0.10419,0.21028,0.39747,0.2018,3.484
2016,0.07112,0.38227,0.11037,0.17344,0.1643,0.31268,3.36
2016,0.11587,0.28123,0.0,0.24811,0.34678,0.17517,3.303
2016,0.17233,0.74719,0.14866,0.62994,0.06912,0.48397,3.069
2016,0.09419,0.06831,0.23442,0.15747,0.0432,0.2029,2.905
2017,0.315963834524155,1.61646318435669,1.53352355957031,0.796666502952576,0.635422587394714,0.36201223731041,7.53700017929077
2017,0.40077006816864,1.48238301277161,1.55112159252167,0.792565524578094,0.626006722450256,0.355280488729477,7.52199983596802
2017,0.153526559472084,1.480633020401,1.6105740070343,0.833552122116089,0.627162635326385,0.475540220737457,7.50400018692017
2017,0.367007285356522,1.56497955322266,1.51691174507141,0.858131289482117,0.620070576667786,0.290549278259277,7.49399995803833
2017,0.38261154294014,1.44357192516327,1.5402467250824,0.80915766954422,0.617950856685638,0.24548277258873,7.4689998626709
2017,0.282661825418472,1.50394463539124,1.42893922328949,0.810696125030518,0.585384488105774,0.470489829778671,7.3769998550415
2017,0.287371516227722,1.47920441627502,1.48134899139404,0.83455765247345,0.611100912094116,0.435539722442627,7.31599998474121
2017,0.382816702127457,1.40570604801178,1.54819512367249,0.816759705543518,0.614062130451202,0.500005125999451,7.31400012969971
2017,0.384398728609085,1.49438726902008,1.47816216945648,0.830875158309937,0.612924098968506,0.385399252176285,7.28399991989136
2017,0.301183730363846,1.484414935112,1.51004195213318,0.84388679265976,0.601607382297516,0.477699249982834,7.28399991989136
2017,0.0852421000599861,1.37538242340088,1.37628996372223,0.83840399980545,0.405988603830338,0.330082654953003,7.21299982070923
2017,0.100106589496136,1.10970628261566,1.41640365123749,0.759509265422821,0.580131649971008,0.214613229036331,7.0789999961853
2017,0.221060365438461,1.48709726333618,1.4599449634552,0.815328419208527,0.567766189575195,0.316472321748734,7.00600004196167
2017,0.135638788342476,1.54625928401947,1.41992056369781,0.77428662776947,0.505740523338318,0.392578780651093,6.99300003051758
2017,0.29838815331459,1.53570663928986,1.55823111534119,0.80978262424469,0.573110342025757,0.42785832285881,6.97700023651123
2017,0.276731938123703,1.48792338371277,1.47252035140991,0.798950731754303,0.562511384487152,0.336269170045853,6.95100021362305
2017,0.251343131065369,1.46378076076508,1.46231269836426,0.818091869354248,0.539770722389221,0.231503337621689,6.89099979400635
2017,0.31883442401886,1.74194359779358,1.45758366584778,0.845089495182037,0.59662789106369,0.283180981874466,6.86299991607666
2017,0.265428066253662,1.44163393974304,1.49646008014679,0.805335938930511,0.508190035820007,0.492774158716202,6.71400022506714
2017,0.0822879821062088,1.25278460979462,1.28402495384216,0.819479703903198,0.376895278692245,0.326662421226501,6.65199995040894
2017,0.324489563703537,1.62634336948395,1.26641023159027,0.726798236370087,0.60834527015686,0.3609419465065,6.64799976348877
2017,0.111092761158943,1.10735321044922,1.43130600452423,0.616552352905273,0.437453746795654,0.16234989464283,6.63500022888184
2017,0.0368729270994663,1.35268235206604,1.43388521671295,0.754444003105164,0.490946173667908,0.0881067588925362,6.60900020599365
2017,0.059739887714386,1.18529546260834,1.44045114517212,0.695137083530426,0.494519203901291,0.109457060694695,6.59899997711182
2017,0.132774114608765,1.15318381786346,1.210862159729,0.709978997707367,0.412730008363724,0.120990432798862,6.57800006866455
2017,0.46430778503418,1.69227766990662,1.35381436347961,0.949492394924164,0.549840569496155,0.345965981483459,6.57200002670288
2017,0.153066068887711,1.34327983856201,1.48841166496277,0.821944236755371,0.588767051696777,0.574730575084686,6.52699995040894
2017,0.178061872720718,1.21755969524384,1.41222786903381,0.719216823577881,0.57939225435257,0.175096929073334,6.4539999961853
2017,0.0772232785820961,0.872001945972443,1.25558519363403,0.540239989757538,0.531310617923737,0.283488392829895,6.4539999961853
2017,0.070983923971653,1.23374843597412,1.37319254875183,0.706156134605408,0.550026834011078,0.21055693924427,6.4520001411438
2017,0.172502428293228,1.43092346191406,1.38777685165405,0.844465851783752,0.470222115516663,0.129762306809425,6.44199991226196
2017,0.0316127352416515,1.12786877155304,1.42579245567322,0.647239029407501,0.580200731754303,0.572123110294342,6.42399978637695
2017,0.0638292357325554,1.43362653255463,1.38456535339355,0.793984234333038,0.361466586589813,0.258360475301743,6.42199993133545
2017,0.0709140971302986,1.38439786434174,1.53209090232849,0.888960599899292,0.408781230449677,0.190133571624756,6.40299987792969
2017,0.439299255609512,1.87076568603516,1.27429687976837,0.710098087787628,0.604130983352661,0.330473870038986,6.375
2017,0.0466687418520451,1.07062232494354,1.4021829366684,0.595027923583984,0.477487415075302,0.149014472961426,6.35699987411499
2017,0.27343225479126,1.53062355518341,1.28667759895325,0.590148329734802,0.449750572443008,0.147616013884544,6.3439998626709
